Input,Output
Book appointment on Monday,Monday
Schedule meeting on Tuesday,Tuesday
Set up an appointment for Wednesday,Wednesday
Meeting on Thursday at 10AM,Thursday
Appointment on Friday afternoon,Friday
Can we meet on Saturday monring?,Saturday
Let's schedule for Sunday,Sunday
Meeting at 9AM on Monday,Monday
Book appointment for Tuesday,Tuesday
Plan for Wednesday afternoon,Wednesday
Schedule a call on Thursday,Thursday
Meeting on Friday afternoon,Friday
Set up an appointment for Saturday,Saturday
Sunday works for me,Sunday
Appointment at 11AM on Monday,Monday
Book meeting for Tuesday,Tuesday
Wednesday morning works,Wednesday
Thursday afternoon is good,Thursday
Let's meet on Friday at 3PM,Friday
Saturday morning works,Saturday
